host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
动漫,2025-06-16,237269.72222222222,4270855,18,0.0025452448651152168,588.0,261.0,7263.358843537415,16363.429118773947
动漫-国产动漫,2025-06-16,214352.0,214352,1,0.0001277445212556214,588.0,261.0,364.5442176870748,821.272030651341
情感,2025-06-16,161089.21739130435,3705052,23,0.002208050748148758,588.0,261.0,6301.108843537415,14195.60153256705
搞笑,2025-06-16,195009.30508474575,11505549,59,0.0068568095879119086,588.0,261.0,19567.26020408163,44082.5632183908
摄影,2025-06-16,480642.0,480642,1,0.000286441844187805,588.0,261.0,817.4183673469388,1841.5402298850574
教育,2025-06-16,477966.6666666667,1433900,3,0.0008545423836886781,588.0,261.0,2438.605442176871,5493.869731800766
数码,2025-06-16,682263.95,13645279,20,0.008131996124385983,588.0,261.0,23206.256802721087,52280.76245210728
旅游,2025-06-16,517826.2,5178262,10,0.003086020191676199,588.0,261.0,8806.568027210884,19840.08429118774
时事,2025-06-16,430843.125,110295840,256,0.06573155033443409,588.0,261.0,187577.95918367346,422589.4252873563
时尚,2025-06-16,672782.5,9418955,14,0.005613289809300783,588.0,261.0,16018.630952380952,36087.95019157088
明星,2025-06-16,329210.76608187135,112590082,342,0.06709881934024947,588.0,261.0,191479.731292517,431379.6245210728
明星-其他,2025-06-16,78739.0,78739,1,4.692503853076423e-05,588.0,261.0,133.90986394557822,301.68199233716473
明星-内地,2025-06-16,348227.76612903224,43180243,124,0.025733557278385073,588.0,261.0,73435.78741496599,165441.54406130267
明星-日韩,2025-06-16,536099.2941176471,9113688,17,0.005431363880127555,588.0,261.0,15499.469387755102,34918.34482758621
星座,2025-06-16,228497.0,228497,1,0.0001361743294830266,588.0,261.0,388.6003401360544,875.4674329501916
校园,2025-06-16,363101.6666666667,1089305,3,0.0006491786674551889,588.0,261.0,1852.5595238095239,4173.582375478927
汽车,2025-06-16,476278.23076923075,6191617,13,0.0036899359439761083,588.0,261.0,10529.96088435374,23722.67049808429
游戏,2025-06-16,249953.5,31994048,128,0.0190670688623823,588.0,261.0,54411.6462585034,122582.55938697318
生活记录,2025-06-16,1456223.0,1456223,1,0.0008678459262168058,588.0,261.0,2476.5697278911566,5579.39846743295
电商,2025-06-16,839981.6,4199908,5,0.0025029635215797117,588.0,261.0,7142.700680272109,16091.60153256705
电影,2025-06-16,406938.1176470588,6917948,17,0.004122797806091306,588.0,261.0,11765.21768707483,26505.547892720308
