week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-08-19,音乐-华语音乐,1448,9,160.88888888888889,0.0038835993026686334
2024-08-19,音乐-日韩音乐,533,5,106.6,0.0014295293013276116
2024-08-26,互联网,865,7,123.57142857142857,0.00233579244121364
2024-08-26,体育,34843,255,136.6392156862745,0.09408787980255127
2024-08-26,公益,23,1,23.0,6.210777589354187e-05
2024-08-26,其他,3921,23,170.47826086956522,0.010588025620807726
2024-08-26,军事,1390,9,154.44444444444446,0.0037534699344357915
2024-08-26,动漫,663,8,82.875,0.0017903241485834026
2024-08-26,动漫-国产动漫,21,1,21.0,5.6707099728886056e-05
2024-08-26,动漫-日本动漫,96,1,96.0,0.0002592324559034791
2024-08-26,历史,1,1,1.0,2.7003380823279073e-06
2024-08-26,地区,6,1,6.0,1.6202028493967445e-05
2024-08-26,情感,7922,58,136.58620689655172,0.021392078288201683
2024-08-26,搞笑,16435,83,198.0120481927711,0.04438005638305916
2024-08-26,教育,97,1,97.0,0.00026193279398580705
2024-08-26,数码,360,4,90.0,0.0009721217096380467
2024-08-26,旅游,765,3,255.0,0.002065758632980849
2024-08-26,时事,16801,140,120.00714285714285,0.045368380121191175
2024-08-26,时尚,498,7,71.14285714285714,0.0013447683649992978
2024-08-26,明星,45157,303,149.03300330033002,0.12193916678368132
2024-08-26,明星-其他,401,2,200.5,0.001082835571013491
2024-08-26,明星-内地,18266,132,138.37878787878788,0.049324375411801555
2024-08-26,明星-日韩,1781,15,118.73333333333333,0.004809302124626003
2024-08-26,明星-港台,27,1,27.0,7.290912822285351e-05
2024-08-26,星座,624,6,104.0,0.0016850109633726143
2024-08-26,校园,279,2,139.5,0.0007533943249694862
2024-08-26,汽车,3040,30,101.33333333333333,0.00820902777027684
2024-08-26,游戏,11184,127,88.06299212598425,0.030200581112755316
2024-08-26,生活记录,77,1,77.0,0.00020792603233924886
2024-08-26,电影,1275,21,60.714285714285715,0.003442931054968082
2024-08-26,电影-华语电影,379,10,37.9,0.001023428133202277
2024-08-26,电影-美国电影,195,4,48.75,0.000526565926053942
2024-08-26,电视剧,5983,70,85.47142857142858,0.016156122746567872
